,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
9278,0,icmp,55,2,2574,338,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,144,179,0.67,0.03,0.01,0.01,0,0,0.02,0.02
10655,0,icmp,25,2,316,12557,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,16,0,0,0,0,1,0,0.12,39,39,1,0,0.03,0,0,0,0,0
4848,0,icmp,25,2,235,33650,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,35,0,0,0,0,1,0,0.09,255,255,1,0,0,0,0,0,0,0
16406,0,icmp,20,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,204,47,0.23,0.02,0.23,0,0,0,0,0
4692,0,udp,45,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,0.02,1,0,255,1,0,0.65,0.98,0,0,0,0.01,0
5557,0,icmp,55,2,1447,435,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,255,21,0.08,0.07,0,0,0,0,0.9,0
10584,0,icmp,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,18,0,0,1,1,0.13,0.06,0,255,18,0.07,0.05,0,0,0,0,1,1
19103,4,icmp,48,2,30,93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,223,0.87,0.04,0,0,0,0,0,0
16247,0,icmp,25,2,246,9632,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,16,0.07,0.06,0,0,1,0,0.12,255,255,1,0,0,0,0,0,0,0
18453,0,icmp,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,2,0,0,1,1,0.01,0.06,0,255,2,0.01,0.05,0,0,0,0,1,1
8406,0,icmp,25,2,266,5671,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,40,255,1,0,0.03,0.05,0,0,0,0
4138,0,icmp,25,2,244,6319,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,45,255,1,0,0.02,0.02,0,0,0,0
4428,0,icmp,50,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.8,0.77,0,0,0,0.78,1
17794,0,icmp,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,3,0,0,1,1,0.01,0.07,0,255,3,0.01,0.07,0,0,0,0,1,1
1631,0,icmp,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,10,1,1,0,0,0.06,0.09,0,255,10,0.04,0.09,0,0,1,1,0,0
20331,0,icmp,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,1,0,0,1,1,0.01,0.06,0,255,1,0,0.06,0,0,0,0,1,1
16280,0,icmp,61,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,12,0,0,1,1,0.23,0.08,0,255,58,0.23,0.11,0.01,0,0,0,0.99,1
6292,0,icmp,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0.5,1,0,255,1,0,0.4,0.05,0,0,0,0.05,1
394,0,icmp,25,2,205,2120,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,14,0,0,0,0,1,0,0.14,255,255,1,0,0,0,0,0,0,0
20487,0,icmp,25,2,243,5381,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,0,85,255,1,0,0.01,0.01,0,0,0,0
21983,0,icmp,25,2,315,3102,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1,0,0.5,60,255,1,0,0.02,0.02,0,0,0,0
3075,0,icmp,25,2,318,537,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,0,34,255,1,0,0.03,0.04,0,0,0,0
2902,0,icmp,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,7,0.17,0,0.83,1,0.03,0.07,0,255,7,0.03,0.07,0,0,0.24,0,0.76,1
16270,0,icmp,25,2,211,692,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,80,255,1,0,0.01,0.05,0,0,0,0
18719,0,udp,12,2,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,141,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0
9762,0,icmp,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,17,0,0,1,1,0.14,0.06,0,255,17,0.07,0.06,0,0,0,0,1,1
15686,0,icmp,25,2,305,4925,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,45,255,1,0,0.02,0.04,0,0,0,0
16750,0,icmp,25,2,306,2698,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,19,0,0,0,0,1,0,0.11,255,190,0.75,0.02,0,0,0,0,0.15,0
16506,0,icmp,25,2,54540,8314,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,1,0,0.33,255,255,1,0,0,0,0,0,0.07,0.07
21067,0,icmp,5,2,14,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,3,0.5,1,0.5,0.67,0,0,0,0
17111,5,icmp,48,2,32,93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,246,0.96,0.02,0,0,0,0,0.02,0
10981,0,icmp,25,2,170,623,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,1,0,0,28,255,1,0,0.04,0.02,0,0,0,0
9247,0,icmp,20,2,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,237,69,0.27,0.03,0.27,0.03,0,0,0,0
10580,0,icmp,25,2,223,185,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0
8244,0,icmp,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,6,0,0,1,1,0.02,0.06,0,255,6,0.02,0.06,0,0,0,0,1,1
3496,814,icmp,25,5,59424,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59,59,0.03,0.03,0.97,0.97,1,0,0,255,253,0.99,0.01,0,0,0.01,0.01,0.29,0.3
22092,0,tcp,16,2,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,140,0,0,0,0,1,0,0,255,254,1,0.01,1,0,0,0,0,0
16053,0,icmp,25,2,54540,8314,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,255,247,0.97,0.01,0,0,0,0,0.06,0.06
7887,280,icmp,20,2,283618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,15,15,1,0,1,0,0,0,0,0
13335,0,icmp,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,1,0,0,1,1,0,1,0,255,1,0,1,0,0,0,0,1,1
16361,0,icmp,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,6,1,1,0,0,0.03,0.05,0,255,6,0.02,0.07,0,0,1,1,0,0
17897,0,icmp,25,2,237,5507,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0
4880,0,icmp,25,2,302,4768,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,1,0,0.18,49,255,1,0,0.02,0.02,0,0,0,0
5623,0,icmp,25,2,313,630,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,1,0,0.43,28,255,1,0,0.04,0.04,0,0,0,0
15559,0,icmp,25,2,209,330,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0
21931,0,icmp,25,2,229,2499,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,30,0,0,0,0,1,0,0.1,255,255,1,0,0,0,0,0,0,0
2019,801,icmp,25,5,74024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,23,0,0,1,1,1,0,0,252,249,0.99,0.01,0,0,0,0,0.11,0.11
1897,0,icmp,25,2,205,536,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,16,0,0,0,0,1,0,0.12,13,255,1,0,0.08,0.05,0,0,0,0
16360,0,udp,50,2,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0,0,0,0,1,0,0,255,255,1,0,0.85,0,0,0,0,0
16044,0,icmp,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,15,0,0,1,1,0.14,0.07,0,255,15,0.06,0.32,0,0,0,0,0.96,1
13630,0,icmp,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0.75,0.5,0.5,0.75,0,255,127,0.5,0.01,0,0,0,0,0.67,0.33
19396,0,icmp,67,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,5,0,0,1,1,0.05,0.07,0,255,5,0.02,0.06,0,0,0,0,1,1
1992,0,udp,12,2,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,194,0,0,0,0,0.99,0.01,0,255,254,1,0.01,0,0,0,0,0,0
13990,0,icmp,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,16,1,1,0,0,0.11,0.06,0,255,16,0.06,0.06,0,0,1,1,0,0
6230,182,icmp,25,2,334,284,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,144,0.56,0.36,0,0,0.01,0,0.4,0.01
4317,0,icmp,25,2,266,1312,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0
20907,0,udp,12,2,45,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,155,0,0,0,0,0.99,0.01,0,255,253,0.99,0.01,0.01,0,0,0,0,0
5631,0,icmp,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,1,0.12,0,0.88,1,0,1,0,255,1,0,1,0,0,0.06,0,0.94,1
13138,0,icmp,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,1,0.05,0,0.95,1,0,1,0,255,1,0,1,0,0,0.04,0,0.95,1
10323,0,icmp,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,9,0,0,1,1,0.04,0.08,0,255,9,0.04,0.07,0,0,0,0,1,1
13143,0,udp,50,2,46,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,0,0,0,0,1,0,0,255,255,1,0,0.35,0,0,0,0,0
14342,0,icmp,25,2,245,415,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0
5896,0,icmp,25,2,229,3586,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,29,0,0,0,0,1,0,0.07,33,255,1,0,0.03,0.03,0,0,0,0
7670,0,icmp,25,2,209,2474,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,24,0,0,0,0,1,0,0.12,120,255,1,0,0.01,0.06,0,0,0,0
11195,0,icmp,25,2,222,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,1,0,0,69,255,1,0,0.01,0.04,0,0,0,0
11541,0,udp,45,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,6,0,0,0,0,0.04,0.49,0,255,6,0.02,0.68,1,0,0,0,0,0
4209,0,icmp,61,2,123,174,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,235,0.92,0.02,0,0,0,0,0.02,0.03
3471,0,udp,50,2,105,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,253,0.99,0.01,0,0,0,0,0,0
7303,0,icmp,55,2,828,333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,74,145,0.42,0.04,0.01,0.01,0,0,0,0
17537,0,udp,50,2,52,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0,0,0,0,1,0,0,255,255,1,0,0.89,0,0,0,0,0
17822,0,udp,50,2,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,101,101,1,0,0.01,0,0,0,0,0
10548,0,udp,50,2,53,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,507,0,0,0,0,1,0,0,255,255,1,0,0.83,0,0,0,0,0
11287,0,icmp,25,2,220,1418,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0,0,1,0,0.17,9,255,1,0,0.11,0.02,0,0,0,0
2807,0,icmp,25,2,213,3680,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,4,255,1,0,0.25,0.05,0,0,0,0
4493,0,icmp,25,2,226,968,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,1,0,0,31,255,1,0,0.03,0.03,0,0,0,0
14184,0,udp,50,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,255,253,0.99,0.01,0,0,0,0,0,0
20488,0,icmp,61,2,128,174,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0.01,0.01,0.02,0.02
12567,4,icmp,48,2,32,93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,180,161,0.89,0.02,0.01,0,0,0,0.06,0
8558,0,udp,50,2,105,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,255,1,0,0.01,0,0,0,0,0
8669,0,icmp,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,1,0.14,0,0.86,1,0,1,0,255,1,0,0.89,0,0,0.15,0,0.85,1
4824,2059,icmp,25,5,72564,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,9,0,0,1,1,1,0,0,255,244,0.96,0.01,0,0,0.02,0.02,0.44,0.46
21393,0,icmp,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,12,0,0,1,1,0.05,0.07,0,255,12,0.05,0.06,0,0,0,0,1,1
14185,0,icmp,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,1,0.18,1,0.82,0,0,1,0,255,1,0,0.89,0,0,0.14,1,0.85,0
13399,0,icmp,25,2,241,1043,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,19,0,0,0,0,1,0,0.11,234,255,1,0,0,0.01,0,0,0,0
404,0,icmp,25,2,358,490,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,36,0,0,0,0,1,0,0.06,30,255,1,0,0.03,0.05,0,0,0,0
15970,0,icmp,25,2,276,1398,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,0,71,234,1,0,0.01,0.03,0,0,0,0
19275,4,icmp,48,2,32,93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,82,74,0.89,0.04,0.01,0.03,0,0,0.06,0
10659,0,icmp,25,2,320,419,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,33,0,0,0,0,1,0,0.09,255,255,1,0,0,0,0,0,0,0
6827,0,icmp,25,2,319,1124,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35,36,0,0,0,0,1,0,0.06,154,255,1,0,0.01,0.02,0,0,0,0
3096,1,icmp,55,2,2599,293,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,255,191,0.75,0.13,0,0,0,0,0.24,0
19361,0,icmp,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,3,0.81,1,0.19,0,0.02,0.07,0,255,3,0.01,0.06,0,0,0.54,1,0.46,0
3219,0,icmp,25,2,223,1529,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,1,0,0,204,255,1,0,0,0.01,0,0,0,0
7019,0,icmp,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,2,1,1,0,0,0.01,0.07,0,255,2,0.01,0.08,0,0,1,1,0,0
22115,0,icmp,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,17,1,1,0,0,0.08,0.06,0,255,17,0.07,0.07,0,0,1,1,0,0
12367,0,icmp,61,2,119,174,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,177,0.69,0.02,0,0,0,0,0.02,0.03
8844,0,icmp,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,7,0,0,1,1,0.03,0.07,0,255,7,0.03,0.07,0,0,0,0,1,1
17609,0,icmp,25,2,214,441,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,1,0,0.4,255,255,1,0,0,0,0,0,0,0
11844,0,icmp,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,1,0.04,0,0.96,1,0,1,0,255,1,0,1,0,0,0,0,1,1
19244,0,icmp,55,2,756,334,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,26,23,0.88,0.12,0.04,0,0,0,0,0
8846,0,icmp,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,10,0,0,1,1,0.04,0.06,0,255,10,0.04,0.06,0,0,0,0,1,1
12175,0,icmp,25,2,286,4798,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,1,0,0,14,255,1,0,0.07,0.03,0,0,0,0
15810,0,icmp,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,4,0,0,1,1,0.01,0.06,0,255,4,0.02,0.07,0,0,0,0,1,1
12265,0,icmp,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,14,0.03,0,0.97,1,0.06,0.07,0,255,14,0.05,0.08,0,0,0.03,0,0.97,1
18005,0,tcp,16,2,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,72,0,0,0,0,1,0,0,255,255,1,0,1,0,0,0,0,0
7965,0,udp,50,2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,255,253,0.99,0.01,0.01,0,0,0,0,0
2482,0,icmp,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0.86,0.86,0.11,0.11,1,0,0,255,255,1,0,0,0,0.2,0.2,0.7,0.7
6278,0,icmp,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,16,0.08,0.56,0.92,0.44,0.07,0.08,0,255,16,0.06,0.08,0,0,0.07,0.56,0.93,0.44
21822,0,icmp,61,7,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,255,89,0.35,0.58,0,0,0.25,0.72,0.56,0
15550,731,icmp,61,2,718,22388,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,61,0.24,0.02,0,0,0.78,0.84,0.01,0.03
2460,0,icmp,25,2,336,1944,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,23,0,0,0,0,1,0,0.22,65,255,1,0,0.02,0.03,0,0,0,0
8000,0,udp,12,2,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0
13986,1,icmp,55,2,2185,331,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,1,0,1,228,113,0.5,0.02,0.01,0,0,0,0,0
10350,0,udp,12,2,45,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,131,0,0,0,0,1,0,0,255,255,1,0,0.01,0,0,0,0,0
6617,0,icmp,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,126,1,1,0,0,1,0,0,255,255,1,0,0,0,0.71,0.71,0.26,0.26
5013,0,icmp,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,14,0,0,1,1,0.06,0.06,0,255,14,0.05,0.06,0,0,0,0,1,1
12593,0,icmp,25,2,300,772,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,1,0,0.2,226,255,1,0,0,0.02,0,0.01,0,0
4955,0,icmp,25,2,299,305,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,13,0,0,0,0,1,0,0.23,255,255,1,0,0,0,0,0,0,0
7445,0,icmp,25,2,230,8854,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,1,0,0.2,7,255,1,0,0.14,0.06,0,0,0,0
13689,0,icmp,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,8,0,0,1,1,0.03,0.06,0,255,8,0.03,0.07,0,0,0,0,1,1
14469,0,icmp,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,5,1,1,0,0,0.02,0.07,0,255,5,0.02,0.07,0,0,1,1,0,0
9872,0,icmp,61,2,122,174,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,30,0.12,0.02,0,0,0,0,0,0.03
6787,0,icmp,50,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.39,0.35,0,0,0,0.9,1
17389,0,tcp,16,2,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,203,0,0,0,0,1,0,0,255,255,1,0,1,0,0,0,0,0
18725,0,icmp,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,11,0,0,1,1,0.09,0.07,0,255,11,0.04,0.06,0,0,0,0,1,1
7710,0,icmp,55,2,0,83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0.5,1,1,255,63,0.25,0.03,0,0,0,0,0,0
9855,0,udp,12,2,69,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,153,0,0,0,0,1,0,0,255,239,0.94,0.01,0.2,0,0,0,0,0
2101,8153,icmp,61,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,23,0.09,0.8,0,0,0,0,0.79,0
7999,0,icmp,61,2,127,174,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0.02,0.02
9859,0,icmp,25,2,181,1636,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,1,0,0,118,255,1,0,0.01,0.01,0,0,0,0
16344,0,udp,50,2,53,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,510,0,0,0,0,1,0,0,255,255,1,0,0.84,0,0,0,0,0
13674,0,tcp,16,2,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,281,0,0,0,0,1,0,0,255,255,1,0,1,0,0,0,0,0
20173,905,icmp,25,5,60884,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,50,0.02,0.02,0.96,0.96,1,0,0,255,255,1,0,0,0,0,0,0.19,0.19
15837,0,icmp,25,2,290,313,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0
10254,0,icmp,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,17,0,0,1,1,0.06,0.06,0,255,17,0.07,0.05,0,0,0,0,1,1
12637,802,icmp,25,5,55744,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52,52,0.02,0.02,0.98,0.98,1,0,0,255,253,0.99,0.01,0,0,0,0,0.27,0.28
3959,4,icmp,48,2,32,93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,175,0.69,0.02,0,0,0,0,0.11,0
15862,0,icmp,25,2,333,261,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,1,0,0.22,25,255,1,0,0.04,0.05,0,0,0,0
467,0,icmp,25,2,314,1885,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,1,0,0.2,48,242,1,0,0.02,0.03,0,0,0,0
5493,0,icmp,25,2,309,3222,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,194,0.76,0.11,0,0,0.01,0.01,0.2,0.01
14740,0,icmp,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,6,0.83,0.67,0.17,0.33,0.03,0.08,0,255,6,0.02,0.08,0,0,0.82,0.67,0.18,0.33
14579,0,icmp,25,2,298,597,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,0,0.29,1,255,1,0,1,0.03,0,0,0,0
20144,0,icmp,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,17,0,0,1,1,0.06,0.05,0,255,17,0.07,0.06,0,0,0,0,1,1
2114,0,icmp,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,6,0,0,1,1,0.03,0.07,0,255,6,0.02,0.08,0,0,0,0,1,1
8504,0,icmp,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,20,0,0,1,1,0.15,0.06,0,255,20,0.08,0.05,0,0,0,0,1,1
1126,0,udp,50,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,0,0,0,0,0.02,0.98,0,255,1,0,0.7,0.97,0,0,0,0.03,0
2755,0,icmp,25,2,157,30887,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,81,255,1,0,0.01,0.04,0,0,0,0
